"","           Customer.Name","     S.No","                       LAN.No.","Sanctioned.Loan.Amount..in.Laksh.INR.","             Salaried.Self.Employed","                                     Profession","Total.Property.Score.out.of.36.","Total.Income.Score.out.of.24.","Total.CIBIL.Score.out.of.18.","Total.Banking.Score.out.of.9.","Total.Demographic.Score.out.of.6.","Property.Chain.Score","Market.Value.of.Property.Score","Length.of.Stay.Score","Last.Registered.Book.1.Document.Score","Technical.Deviation.Score","Locality.Development.Score","Monthly.Household.Income.Score","Stability.Score","Proof.of.Income.Score","Actual.CIBIL.Score.Score","Default.Track.Score","Number.of.Enquiries.Score","ABB.EMI.Score","Average.Monthly.Credit.Score","Number.of.Bounces.Score"," Family.Score","  Age.Score","Number.of.Financial.Co.Applicants","No..of.bounces","No..of.presentations.till.Feb..19."
"","Ashish Chibber    :  2  ","Min.   :  1.00  ","LKZ000001NishuTaya010816   :  1  ","Min.   : 1.250  ","Salaried                :57  ","Business Support Manager                  :  2  ","Min.   :11.00  ","Min.   : 8.00  ","Min.   : 4.00  ","Min.   :2.000  ","Min.   :1.000  ","Min.   :1.000  ","Min.   :2.000  ","Min.   :0.000  ","Min.   :0.000  ","Min.   :0.000  ","Min.   :0.000  ","Min.   : 0.000  ","Min.   :3.000  ","Min.   :0.00  ","Min.   : 1.000  ","Min.   :0.000  ","Min.   :0.000  ","Min.   :0.000  ","Min.   :0.000  ","Min.   :1.000  ","Min.   :0.0000  ","Min.   :1.00  ","Min.   :0.0000  ","Min.   :0.0000  ","Min.   : 0.00  "
"","Dipesh Kumar Verma:  2  ","1st Qu.: 28.75  ","LKZ000002PradeepKumar300916:  1  ","1st Qu.: 5.000  ","Self-Employed           :49  ","sales manager in Kamson Financial Services:  2  ","1st Qu.:23.75  ","1st Qu.:13.00  ","1st Qu.: 9.00  ","1st Qu.:5.000  ","1st Qu.:2.000  ","1st Qu.:4.000  ","1st Qu.:3.000  ","1st Qu.:3.000  ","1st Qu.:3.000  ","1st Qu.:8.000  ","1st Qu.:2.000  ","1st Qu.: 4.000  ","1st Qu.:3.000  ","1st Qu.:3.00  ","1st Qu.: 5.000  ","1st Qu.:3.250  ","1st Qu.:0.000  ","1st Qu.:0.000  ","1st Qu.:3.000  ","1st Qu.:2.000  ","1st Qu.:0.0000  ","1st Qu.:2.00  ","1st Qu.:0.0000  ","1st Qu.:0.0000  ","1st Qu.: 6.00  "
"","Munish Kumar      :  2  ","Median : 56.50  ","LKZ000003Rai300916         :  1  ","Median : 8.000  ","Self-Employed + Salaried: 6  ","self employed/automotive parts            :  2  ","Median :26.00  ","Median :16.00  ","Median :10.00  ","Median :8.000  ","Median :3.000  ","Median :6.000  ","Median :4.000  ","Median :4.000  ","Median :3.000  ","Median :9.000  ","Median :2.000  ","Median : 8.000  ","Median :6.000  ","Median :4.00  ","Median : 7.000  ","Median :5.000  ","Median :0.000  ","Median :2.500  ","Median :4.000  ","Median :2.000  ","Median :1.0000  ","Median :2.00  ","Median :0.0000  ","Median :0.0000  ","Median :10.00  "
"","Nimish Ajmera     :  2  ","Mean   : 56.50  ","LKZ000004Verma301016       :  1  ","Mean   : 8.525  ",NA,"Teacher in DU                             :  2  ","Mean   :26.12  ","Mean   :15.78  ","Mean   :11.65  ","Mean   :6.955  ","Mean   :2.866  ","Mean   :5.688  ","Mean   :4.464  ","Mean   :3.554  ","Mean   :2.714  ","Mean   :7.821  ","Mean   :1.875  ","Mean   : 7.134  ","Mean   :5.062  ","Mean   :3.58  ","Mean   : 6.667  ","Mean   :4.211  ","Mean   :1.348  ","Mean   :1.929  ","Mean   :3.116  ","Mean   :1.911  ","Mean   :0.6964  ","Mean   :2.17  ","Mean   :0.5714  ","Mean   :0.4464  ","Mean   :11.12  "
"","Abhishek Bindal   :  1  ","3rd Qu.: 84.25  ","LKZ000005Harish301216      :  1  ","3rd Qu.:10.500  ",NA,"Working in export house                   :  2  ","3rd Qu.:29.00  ","3rd Qu.:18.25  ","3rd Qu.:15.00  ","3rd Qu.:9.000  ","3rd Qu.:3.000  ","3rd Qu.:9.000  ","3rd Qu.:5.000  ","3rd Qu.:4.000  ","3rd Qu.:3.000  ","3rd Qu.:9.000  ","3rd Qu.:2.000  ","3rd Qu.:10.000  ","3rd Qu.:6.000  ","3rd Qu.:4.00  ","3rd Qu.:10.000  ","3rd Qu.:5.000  ","3rd Qu.:3.000  ","3rd Qu.:3.000  ","3rd Qu.:4.000  ","3rd Qu.:2.000  ","3rd Qu.:1.0000  ","3rd Qu.:3.00  ","3rd Qu.:1.0000  ","3rd Qu.:1.0000  ","3rd Qu.:16.00  "
"","Ahmad             :  1  ","Max.   :112.00  ","LKZ000006VijenderK300117   :  1  ","Max.   :20.500  ",NA,"Account Manager                           :  1  ","Max.   :35.00  ","Max.   :24.00  ","Max.   :18.00  ","Max.   :9.000  ","Max.   :6.000  ","Max.   :9.000  ","Max.   :9.000  ","Max.   :4.000  ","Max.   :3.000  ","Max.   :9.000  ","Max.   :2.000  ","Max.   :12.000  ","Max.   :6.000  ","Max.   :6.00  ","Max.   :10.000  ","Max.   :5.000  ","Max.   :3.000  ","Max.   :3.000  ","Max.   :4.000  ","Max.   :2.000  ","Max.   :3.0000  ","Max.   :3.00  ","Max.   :3.0000  ","Max.   :1.0000  ","Max.   :29.00  "
"","(Other)           :102  ",NA,"(Other)                    :106  ",NA,NA,"(Other)                                   :101  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA's   :22  ","NA's   :22  ","NA's   :23  ",NA,NA,NA,NA,NA,NA,NA,NA
